Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Train Epoch: 5 [5120/49000 (10%)]	Train Loss: 1.423074	Val Loss: 1.512425	Val Acc: 47.5
Train Epoch: 5 [7680/49000 (16%)]	Train Loss: 1.348595	Val Loss: 1.496451	Val Acc: 48.099998474121094
Train Epoch: 5 [10240/49000 (21%)]	Train Loss: 1.467556	Val Loss: 1.492528	Val Acc: 46.5
Train Epoch: 5 [12800/49000 (26%)]	Train Loss: 1.364198	Val Loss: 1.477657	Val Acc: 48.900001525878906
Train Epoch: 5 [15360/49000 (31%)]	Train Loss: 1.377460	Val Loss: 1.496268	Val Acc: 49.20000076293945
Train Epoch: 5 [17920/49000 (36%)]	Train Loss: 1.404608	Val Loss: 1.481212	Val Acc: 49.5
Train Epoch: 5 [20480/49000 (42%)]	Train Loss: 1.395379	Val Loss: 1.493109	Val Acc: 47.400001525878906
Train Epoch: 5 [23040/49000 (47%)]	Train Loss: 1.365991	Val Loss: 1.487345	Val Acc: 47.79999923706055
Train Epoch: 5 [25600/49000 (52%)]	Train Loss: 1.502558	Val Loss: 1.496010	Val Acc: 48.20000076293945
Train Epoch: 5 [28160/49000 (57%)]	Train Loss: 1.481892	Val Loss: 1.478296	Val Acc: 47.29999923706055
Train Epoch: 5 [30720/49000 (62%)]	Train Loss: 1.576737	Val Loss: 1.482880	Val Acc: 47.900001525878906
Train Epoch: 5 [33280/49000 (68%)]	Train Loss: 1.482347	Val Loss: 1.465351	Val Acc: 49.79999923706055
Train Epoch: 5 [35840/49000 (73%)]	Train Loss: 1.412110	Val Loss: 1.464974	Val Acc: 48.599998474121094
Train Epoch: 5 [38400/49000 (78%)]	Train Loss: 1.383832	Val Loss: 1.483035	Val Acc: 47.5
Train Epoch: 5 [40960/49000 (83%)]	Train Loss: 1.398951	Val Loss: 1.514369	Val Acc: 44.79999923706055
Train Epoch: 5 [43520/49000 (89%)]	Train Loss: 1.378958	Val Loss: 1.482310	Val Acc: 48.599998474121094
Train Epoch: 5 [46080/49000 (94%)]	Train Loss: 1.418411	Val Loss: 1.490022	Val Acc: 47.5
Train Epoch: 5 [48640/49000 (99%)]	Train Loss: 1.475505	Val Loss: 1.458716	Val Acc: 48.29999923706055
Train Epoch: 6 [0/49000 (0%)]	Train Loss: 1.329209	Val Loss: 1.465542	Val Acc: 48.29999923706055
Train Epoch: 6 [2560/49000 (5%)]	Train Loss: 1.317694	Val Loss: 1.472822	Val Acc: 48.79999923706055
Train Epoch: 6 [5120/49000 (10%)]	Train Loss: 1.325609	Val Loss: 1.486173	Val Acc: 46.900001525878906
Train Epoch: 6 [7680/49000 (16%)]	Train Loss: 1.432414	Val Loss: 1.497430	Val Acc: 47.5
Train Epoch: 6 [10240/49000 (21%)]	Train Loss: 1.353410	Val Loss: 1.473397	Val Acc: 48.0
Train Epoch: 6 [12800/49000 (26%)]	Train Loss: 1.226149	Val Loss: 1.479844	Val Acc: 48.79999923706055
Train Epoch: 6 [15360/49000 (31%)]	Train Loss: 1.362574	Val Loss: 1.464352	Val Acc: 49.099998474121094
Train Epoch: 6 [17920/49000 (36%)]	Train Loss: 1.413961	Val Loss: 1.492232	Val Acc: 47.29999923706055
Train Epoch: 6 [20480/49000 (42%)]	Train Loss: 1.309085	Val Loss: 1.494465	Val Acc: 47.900001525878906
Train Epoch: 6 [23040/49000 (47%)]	Train Loss: 1.539967	Val Loss: 1.486347	Val Acc: 48.0
Train Epoch: 6 [25600/49000 (52%)]	Train Loss: 1.293957	Val Loss: 1.456402	Val Acc: 49.79999923706055
Train Epoch: 6 [28160/49000 (57%)]	Train Loss: 1.522122	Val Loss: 1.450704	Val Acc: 49.20000076293945
Train Epoch: 6 [30720/49000 (62%)]	Train Loss: 1.435658	Val Loss: 1.462388	Val Acc: 47.70000076293945
Train Epoch: 6 [33280/49000 (68%)]	Train Loss: 1.275855	Val Loss: 1.475723	Val Acc: 47.20000076293945
Train Epoch: 6 [35840/49000 (73%)]	Train Loss: 1.413067	Val Loss: 1.474579	Val Acc: 47.79999923706055
Train Epoch: 6 [38400/49000 (78%)]	Train Loss: 1.388338	Val Loss: 1.503419	Val Acc: 48.0
Train Epoch: 6 [40960/49000 (83%)]	Train Loss: 1.302830	Val Loss: 1.515169	Val Acc: 49.599998474121094
Train Epoch: 6 [43520/49000 (89%)]	Train Loss: 1.314149	Val Loss: 1.485338	Val Acc: 48.099998474121094
Train Epoch: 6 [46080/49000 (94%)]	Train Loss: 1.254138	Val Loss: 1.473433	Val Acc: 47.79999923706055
Train Epoch: 6 [48640/49000 (99%)]	Train Loss: 1.227881	Val Loss: 1.468851	Val Acc: 48.29999923706055
